O Brasil vai ganhar a copa | positivo
É lamentavel. É simplesmente um absurdo, não temos que aceitar isso. | negativo
não torço pra seleção não, pra mim não faz diferença, a Copa atrapalhou o transito | negativo
A Copa no Brasil é piada pronta. |  negativo
﻿Na copa os estrangeiros vao volta pra casa tudo cheio de doença aqui de brasilia, pegar HIV | negativo
O Brasil vai ganhar a copa | positivo
Dupla usa faca para assaltar atriz chilena em Copacabana, no Rio. | negativo
Parlamentares pressionam colegas para obter ingressos para a Copa | negativo
Imaginem na Copa: Aeroporto fechado (cerração) e vão móvel içado. | negativo
Brasil tem meu voto de confiança na Copa das Confederações. | positivo
Povão não vai assistir a Copa das Confederações e nem Copa do MUNDO. | negativo
Quando você estiver se sentido um idiota | negativo
﻿Cidade entrará no roteiro do turismo internacional para a Copa do Mundo em 2014! | positivo
Presidente da Fifa quer que Dilma impeça manifestações durante a Copa 2014 | negativo
Na copa quase não vai ter aula | negativo
Custo de estádios no Brasil ultrapassa o custo duas últimas juntos | negativo
﻿Os brasileiros não precisam de Copa. Eles precisam é de sala, quarto, cozinha e banheiro.﻿ | negativo
Fifa reprovou qualidade da internet móvel durante a Copa das Confederações. | negativo
﻿meia entrada só para idoso na Copa é absurdo | negativo
num país que não consegue garantir nem o direito básico de ir e vir. | negativo
Brasília inaugura estádio com falhas dentro e fora do campo | negativo 
Muito bom ver o Brasil acabar com um tabu de quase 20 anos sobre os nossos algozes franceses. E melhor ainda por sonoros 3 x 0, devolvendo o placar da final da Copa de 1998. | positivo
Essa boa vitória sobre a França vai dar moral para a nossa seleção na Copa das Confederações, que temos tudo para faturar em casa. | positivo
a medida interfere na autonomia dos administradores dos estádios e que não ela deveria ocorrer. | negativo
Com tanta criança passando fome esse povo fica comprando ingresso pra Copa do Mundo | negativo
Seis estádios para Copa 2014 estão com as obras atrasadas| negativo
DORMINDO E SONHANDO COM A COPA DE 2014, SÓ EM SONHO MESMO!| negativo
depois esses otários vão pra rua pedindo redução da tarifa de ônibus! | negativo
ACABEI DE COMPRAR OS INGRESSOS PRA COPA DO MUNDO 2014! | positivo
O povo brasileiro gosta de pão e circo! Que vergonheira! Lamentável! | negativo
não torço pra seleção não, se ganhar ou perder pra mim não faz diferença, a Copa atrapalhou o transito | negativo
﻿Os brasileiros não precisam de Copa. Eles precisam é de sala, quarto, cozinha e banheiro.﻿ | negativo
Fifa reprovou qualidade da internet móvel durante a Copa das Confederações. | negativo
