Eu não gosto da galera da Fatec, eles são tri mal educados e tri metidos | negativo
Fatec é massa | positivo
﻿Fatec que é Fatec obriga o aluno a entregar 70% do TCC na metade do curso. Tô ferrada!| negativo
Você foi capaz de fazê-lo | positivo
Muito bem. Eu sei que conseguirá | positivo
Eu não duvido da sua boa intenção | positivo
João tem um alto conceito de você | positivo
Se precisar de alguma coisa é só pedir | positivo
Sei que você fez sem querer | positivo
Estou muito orgulhoso de você  | positivo 
Você sabe que eu te amo | positivo
Eu sei que você é bom  | positivo
Te parabenizo pelo que você tem feito | positivo
Que surpresa mais boa você me deu | positivo
Quando precisares, eu te ajudarei | positivo
Assim eu gosto, você fez muito bem  | positivo
Reparo que cada dia você é melhor | positivo
Creio o que me diz, você fará | positivo
Você sabe que eu quero o melhor para você | positivo
Você merece o melhor | positivo
Eu não esperava menos de você | positivo
Você pode chegar onde quiser  | positivo
Com certeza que as próximas notas serão melhores | positivo
Você é um bagunceiro | negativo
Sempre você gosta de chatear | negativo
Aprenda com o seu irmão | negativo
Vai ficar de castigo | negativo
Sempre você está brigando | negativo
Fique longe de mim nao quero te ver | negativo
Você não sabe ficar quieto | negativo
Você me mata de desgosto | negativo
Sempre você está brigando | negativo
Cada dia você se comporta pior | negativo
Você é um mentiroso | negativo
